Site ID,Energy Consumption (kWh),Date
CCC0501,1611.86,2019-11-01
CCC0501,911.89,2019-11-02
CCC0501,939.28,2019-11-03
CCC0501,1570.04,2019-11-04
CCC0501,1562.43,2019-11-05
CCC0501,1547.96,2019-11-06
CCC0501,1557.28,2019-11-07
CCC0501,1586.02,2019-11-08
CCC0501,688.22,2019-11-09
CCC0501,168.92,2019-11-10
CCC0501,1287.08,2019-11-11
CCC0501,1618.42,2019-11-12
CCC0501,1683.21,2019-11-13
CCC0501,1647.18,2019-11-14
CCC0501,1723.23,2019-11-15
CCC0501,863.54,2019-11-16
CCC0501,619.67,2019-11-17
CCC0501,1480.98,2019-11-18
CCC0501,1615.86,2019-11-19
CCC0501,1618,2019-11-20
CCC0501,1762.44,2019-11-21
CCC0501,1443.2,2019-11-22
CCC0501,732.09,2019-11-23
CCC0501,156.61,2019-11-24
CCC0501,1344.64,2019-11-25
CCC0501,1604.5,2019-11-26
CCC0501,1544.19,2019-11-27
CCC0501,885.3,2019-11-28
CCC0501,1471.3,2019-11-29
CCC0501,967.05,2019-11-30
CCC0501,887.67,2019-12-01
CCC0501,1431.11,2019-12-02
CCC0501,1635.27,2019-12-03
CCC0501,1665.07,2019-12-04
CCC0501,1745.85,2019-12-05
CCC0501,1575.97,2019-12-06
CCC0501,977.6,2019-12-07
CCC0501,924.92,2019-12-08
CCC0501,1394.12,2019-12-09
CCC0501,1664.83,2019-12-10
CCC0501,1702.22,2019-12-11
CCC0501,1646.83,2019-12-12
CCC0501,1651.19,2019-12-13
CCC0501,1200.93,2019-12-14
CCC0501,1313.53,2019-12-15
CCC0501,1955.82,2019-12-16
CCC0501,1892.63,2019-12-17
CCC0501,1788.39,2019-12-18
CCC0501,1784.71,2019-12-19
CCC0501,1671.87,2019-12-20
CCC0501,654.37,2019-12-21
CCC0501,202.74,2019-12-22
CCC0501,1363.62,2019-12-23
CCC0501,1518.38,2019-12-24
CCC0501,1318.01,2019-12-25
CCC0501,1681.99,2019-12-26
CCC0501,1510.35,2019-12-27
CCC0501,1169.67,2019-12-28
CCC0501,1290.77,2019-12-29
CCC0501,1721.97,2019-12-30
CCC0501,1611.8,2019-12-31
CCC0501,1359.93,2020-01-01
CCC0501,1621.82,2020-01-02
CCC0501,1546.44,2020-01-03
CCC0501,945.3,2020-01-04
CCC0501,218.66,2020-01-05
CCC0501,1491.95,2020-01-06
CCC0501,1581.48,2020-01-07
CCC0501,1452.94,2020-01-08
CCC0501,1789.88,2020-01-09
CCC0501,1632.07,2020-01-10
CCC0501,996.01,2020-01-11
CCC0501,919,2020-01-12
CCC0501,1686.19,2020-01-13
CCC0501,1739.93,2020-01-14
